id,Listening_Time_minutes
750000,41.897495
750001,43.089138
750002,39.723396
750003,40.73367
750004,43.230587
750005,45.50673
750006,51.80709
750007,45.997913
750008,45.083168
750009,45.299427
750010,39.40076
750011,47.272854
750012,45.45346
750013,42.535515
750014,40.764812
750015,39.329826
750016,47.608658
750017,42.59219
750018,45.22578
750019,45.45994
750020,43.528957
750021,45.70898
750022,49.977245
750023,49.534767
750024,47.520077
750025,42.38274
750026,44.39615
750027,45.086937
750028,40.915993
750029,43.362206
750030,46.286774
750031,40.946945
750032,43.551605
750033,53.06206
750034,46.000183
750035,46.708874
750036,41.851402
750037,46.263214
750038,46.184544
750039,46.25448
750040,44.521713
750041,45.974903
750042,46.01372
750043,47.972183
750044,45.217876
750045,50.845123
750046,44.846313
750047,43.47963
750048,47.30506
750049,44.756824
750050,44.81513
750051,41.269394
750052,44.913258
750053,44.628872
750054,46.875824
750055,42.970886
750056,49.45593
750057,46.990337
750058,44.6814
750059,45.19638
750060,42.370987
750061,49.139046
750062,37.044216
750063,47.45791
750064,47.65795
750065,41.41236
750066,40.842117
750067,47.434917
750068,43.078358
750069,46.412834
750070,41.171852
750071,48.310436
750072,53.568134
750073,46.001434
750074,43.435375
750075,46.83682
750076,46.513668
750077,40.171654
750078,45.186115
750079,48.783092
750080,44.463306
750081,45.324894
750082,43.87221
750083,41.63123
750084,41.43024
750085,43.809437
750086,42.447575
750087,46.728672
750088,55.770157
750089,45.35145
750090,44.689873
750091,44.88964
750092,44.517254
750093,44.16579
750094,46.918674
750095,43.77077
750096,43.968773
750097,48.515175
750098,42.021645
750099,46.081394
750100,49.077324
750101,44.533295
750102,45.581264
750103,46.562454
750104,44.664467
750105,44.391407
750106,42.94517
750107,44.43662
750108,42.81711
750109,42.092716
750110,49.603825
750111,46.558445
750112,46.40227
750113,45.831364
750114,44.508343
750115,45.08315
750116,45.97812
750117,43.424202
750118,44.525566
750119,48.911987
750120,45.50291
750121,44.04903
750122,46.978035
750123,47.490215
750124,46.493393
750125,46.12878
750126,45.908077
750127,41.814327
750128,45.628597
750129,43.00096
750130,41.754753
750131,40.36257
750132,42.843357
750133,46.450153
750134,46.491215
750135,46.28169
750136,42.82827
750137,41.713146
750138,45.580864
750139,43.15057
750140,45.073475
750141,43.418083
750142,47.173637
750143,44.694897
750144,45.021137
750145,43.616673
750146,52.21958
750147,41.246105
750148,44.046017
750149,40.576694
750150,42.229866
750151,46.68156
750152,47.920475
750153,51.257034
750154,45.215572
750155,45.588486
750156,45.140465
750157,43.672066
750158,44.92632
750159,45.699997
750160,45.311333
750161,49.065132
750162,44.478645
750163,48.896606
750164,43.26038
750165,47.183517
750166,53.460747
750167,47.075058
750168,44.060543
750169,45.392365
750170,44.122246
750171,40.68616
750172,45.29205
750173,42.085835
750174,41.045864
750175,43.721363
750176,51.56431
750177,43.059612
750178,46.46725
750179,47.582073
750180,49.820835
750181,41.56068
750182,51.142784
750183,41.400204
750184,47.794262
750185,42.21845
750186,45.66563
750187,45.498325
750188,41.629288
750189,47.6973
750190,44.20793
750191,45.62586
750192,44.17629
750193,39.882282
750194,46.727905
750195,41.57887
750196,49.56551
750197,41.73979
750198,44.13911
750199,43.22311
750200,40.9036
750201,49.11484
750202,47.278854
750203,43.031925
750204,44.81271
750205,49.33412
750206,41.117504
750207,40.343662
750208,43.71163
750209,42.599144
750210,44.16539
750211,51.986603
750212,53.09945
750213,42.723225
750214,43.07575
750215,48.289528
750216,45.2704
750217,43.782864
750218,43.71647
750219,40.922005
750220,42.826324
750221,43.736046
750222,44.40203
750223,41.23539
750224,43.027542
750225,45.173126
750226,44.138134
750227,42.92558
750228,42.270214
750229,41.05279
750230,44.75602
750231,46.92262
750232,46.592354
750233,49.99532
750234,49.824505
750235,44.52235
750236,48.40888
750237,43.63331
750238,43.59247
750239,46.139095
750240,50.60206
750241,46.988815
750242,41.65619
750243,43.941883
750244,46.601925
750245,47.47105
750246,43.395966
750247,45.878258
750248,41.7461
750249,45.846584
750250,45.076794
750251,43.89971
750252,47.409126
750253,44.421974
750254,51.44802
750255,40.8009
750256,50.220486
750257,38.49608
750258,48.3334
750259,45.78652
750260,46.36076
750261,46.21197
750262,39.848114
750263,44.919636
750264,44.19263
750265,41.279575
750266,43.46717
750267,44.943604
750268,44.670715
750269,43.488426
750270,46.374584
750271,43.86038
750272,46.063034
750273,44.260796
750274,50.97231
750275,44.827553
750276,46.1188
750277,44.99453
750278,54.049606
750279,46.020557
750280,48.9928
750281,43.097874
750282,44.152676
750283,44.57013
750284,42.760296
750285,46.941563
750286,45.104813
750287,43.717827
750288,41.37094
750289,45.858875
750290,48.96324
750291,47.780838
750292,42.909298
750293,46.754383
750294,51.785328
750295,48.944798
750296,44.578014
750297,42.00138
750298,45.107098
750299,44.80962
750300,49.173584
750301,46.566746
750302,44.287994
750303,44.885487
750304,45.179577
750305,43.959183
750306,48.709778
750307,46.885433
750308,42.101456
750309,33.32419
750310,44.95058
750311,42.519978
750312,43.465755
750313,44.153755
750314,44.829456
750315,39.470863
750316,43.538704
750317,43.06429
750318,43.54025
750319,42.79295
750320,45.02151
750321,47.612186
750322,44.365932
750323,44.086327
750324,45.22091
750325,44.566074
750326,42.01054
750327,44.148045
750328,41.530224
750329,47.758186
750330,47.266182
750331,43.01773
750332,47.5915
750333,31.618713
750334,46.138752
750335,41.927814
750336,47.618587
750337,44.74115
750338,48.67467
750339,43.554337
750340,44.62097
750341,40.21694
750342,45.646366
750343,45.971157
750344,46.09833
750345,48.770557
750346,45.526276
750347,45.79106
750348,40.204082
750349,45.58695
750350,48.077354
750351,42.44299
750352,45.82043
750353,43.69186
750354,43.564827
750355,48.672707
750356,47.82355
750357,47.72794
750358,45.888123
750359,47.7807
750360,46.87027
750361,37.065895
750362,47.69027
750363,54.149075
750364,40.269638
750365,48.742382
750366,35.056553
750367,44.833138
750368,50.341103
750369,45.55284
750370,41.078396
750371,46.60943
750372,42.2203
750373,45.015057
750374,43.87698
750375,43.96532
750376,45.907677
750377,42.636078
750378,42.62739
750379,45.720753
750380,46.88731
750381,38.617287
750382,42.473637
750383,44.36024
750384,48.180027
750385,45.26027
750386,47.79791
750387,46.696102
750388,49.689457
750389,44.54227
750390,45.85417
750391,42.269302
750392,47.318645
750393,42.571407
750394,40.742756
750395,51.025867
750396,45.36875
750397,43.908695
750398,44.492413
750399,42.14992
750400,48.414646
750401,47.08658
750402,51.727802
750403,48.6561
750404,41.915592
750405,47.55211
750406,47.756836
750407,43.38601
750408,46.798584
750409,44.398354
750410,46.215824
750411,44.833443
750412,44.78977
750413,43.625793
750414,40.37403
750415,49.6517
750416,48.054047
750417,38.38934
750418,42.026928
750419,40.23277
750420,45.637016
750421,46.29368
750422,48.02767
750423,46.982616
750424,44.11121
750425,45.187996
750426,47.18534
750427,39.786884
750428,45.024727
750429,35.056553
750430,47.88651
750431,41.677433
750432,45.953403
750433,48.893772
750434,42.41989
750435,45.531258
750436,41.992073
750437,44.66012
750438,48.913143
750439,48.385494
750440,44.9609
750441,43.645172
750442,43.705517
750443,45.937275
750444,45.15019
750445,39.45978
750446,43.098877
750447,43.63471
750448,42.310936
750449,40.359524
750450,40.621967
750451,44.27891
750452,45.884926
750453,44.555664
750454,45.449966
750455,45.640495
750456,42.187996
750457,47.89043
750458,48.2982
750459,45.71544
750460,46.375694
750461,36.553032
750462,43.49921
750463,46.290962
750464,44.491882
750465,43.82018
750466,43.381203
750467,47.30786
750468,45.943943
750469,44.734795
750470,45.41168
750471,43.174133
750472,42.609535
750473,43.234016
750474,47.854256
750475,42.661358
750476,43.350243
750477,21.379776
750478,43.315784
750479,43.779835
750480,42.83511
750481,40.84204
750482,44.215473
750483,52.77567
750484,50.071415
750485,52.833607
750486,47.942375
750487,46.812363
750488,40.00799
750489,44.755116
750490,44.99787
750491,49.52889
750492,46.223515
750493,43.058193
750494,44.236294
750495,50.802235
750496,43.75652
750497,45.548103
750498,45.990047
750499,50.498783
750500,43.3782
750501,51.352367
750502,43.39674
750503,42.870678
750504,45.777935
750505,45.59206
750506,47.0657
750507,42.65378
750508,40.03796
750509,44.46928
750510,43.84108
750511,49.563396
750512,46.246178
750513,45.414032
750514,47.92408
750515,43.05467
750516,44.117397
750517,46.33578
750518,44.52425
750519,48.7275
750520,46.649944
750521,44.1032
750522,43.654495
750523,40.926323
750524,42.85855
