respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.17187596599843602,0.23555555221613908
26708,0.13041953140598647,0.13244955665679348
26709,0.4552921464428817,0.7148793330852152
26710,0.5666302272961476,0.7585480590530903
26711,0.2977302773980405,0.46035290434110104
26712,0.48057878722584596,0.839124285844874
26713,0.4408601259851262,0.5111403886146535
26714,0.2523078343047973,0.24208413552821453
26715,0.17851024669774673,0.14754826709238478
26716,0.16277332484337126,0.7150958311554286
26717,0.13230703433992902,0.5509701264937333
26718,0.3137971037820109,0.5838730827995535
26719,0.18872445624980455,0.8159132272955801
26720,0.09288974750739457,0.27074731967379034
26721,0.4501646776426187,0.5780672859347393
26722,0.12135568209310467,0.19753293438587563
26723,0.5553374260543379,0.7926157196561608
26724,0.16432430437209844,0.7255865544557497
26725,0.19051846764346766,0.14814447358197358
26726,0.1894473478262779,0.16458624014874018
26727,0.28259531720051734,0.6339027101639332
26728,0.2336925366300366,0.43887137881468397
26729,0.16501870555914674,0.24201258150750274
26730,0.20683457040035996,0.22262449313242655
26731,0.11125337570925808,0.2980017105787231
26732,0.21745396964146962,0.23893478088389083
26733,0.7874885669885667,0.8588807095682094
26734,0.6187968796554323,0.5109623841500778
26735,0.19316656110057814,0.37279921908474706
26736,0.14094541992665055,0.1846411118964129
26737,0.1492274344807239,0.1533254574802562
26738,0.6418498608346755,0.7097366076690768
26739,0.13892629592629593,0.24661001968877358
26740,0.21803991025314556,0.18393215118215117
26741,0.22370913073854262,0.8376738747363746
26742,0.16880449055158814,0.346739830667269
26743,0.1546466103341103,0.4471765201602663
26744,0.15169239135047954,0.5778946131482896
26745,0.2220852178652101,0.7199881556352143
26746,0.22223258681463018,0.2689120307530634
26747,0.23387690781440784,0.26239948939948937
26748,0.2374761557886559,0.1738154353816118
26749,0.1574951819766061,0.6053280743594212
26750,0.6756353417824004,0.7915156559127148
26751,0.3928405804721594,0.6948300314236846
26752,0.18187826689993877,0.18638739161165627
26753,0.1727344039689241,0.40600401571645195
26754,0.20358326028546622,0.4060592556523283
26755,0.1752029775779776,0.3836687947200717
26756,0.0733277417027417,0.10529421640451049
26757,0.47264062824860054,0.6059177861612071
26758,0.4896206437826019,0.7559455393462752
26759,0.10203201184780131,0.1948882029777928
26760,0.14158426515005457,0.12669939741630912
26761,0.374551131397842,0.6388951284998113
26762,0.25740462029800265,0.7095081430227204
26763,0.7024939536727459,0.8215949189699191
26764,0.7616523570383863,0.8475163104224638
26765,0.23765267534752837,0.5550166847041847
26766,0.1970415888935626,0.2385285900161222
26767,0.6992037051141152,0.6556108821733821
26768,0.16716099112016292,0.45972876156351405
26769,0.23425139564168204,0.2682299493806848
26770,0.2330229957950547,0.5440977172337466
26771,0.18393294461386575,0.31180210217342563
26772,0.1416548174048174,0.4691734000004126
26773,0.10358432758761703,0.37928622052854793
26774,0.15043131868131865,0.393777050048335
26775,0.20614184564145874,0.5439143767628112
26776,0.3918845700867761,0.4055841443987728
26777,0.21468127067720733,0.7424515774258422
26778,0.20546530297188198,0.17076145876397425
26779,0.2139267786307261,0.547778562961806
26780,0.27447204429557376,0.8181529981456452
26781,0.2337229493932281,0.41529394257703084
26782,0.1974836851744747,0.34593541376494163
26783,0.17161340194892824,0.3555841328263002
26784,0.4014803217937894,0.7734205235124351
26785,0.3590656747105664,0.5327612043185572
26786,0.16329830476541,0.28643431106647044
26787,0.20077715585068528,0.5918729022525462
26788,0.17240784580916152,0.800040231418908
26789,0.10013853032931977,0.3283947116480011
26790,0.1649165556665557,0.28777645368981697
26791,0.1462415861915862,0.20333310643604766
26792,0.17375378543025602,0.6192986483545695
26793,0.23544943063472468,0.8675711669866081
26794,0.7020591782873129,0.7966919714272656
26795,0.14619313203136733,0.7465158993847493
26796,0.12717848197124512,0.09371358359777478
26797,0.2330179542679543,0.5487154565420819
26798,0.3678052279462883,0.27835557783719544
26799,0.32554876556192336,0.3497275812845031
26800,0.1222840229215229,0.7862016898155091
26801,0.22645863072256264,0.27859081344781816
26802,0.1663229639073629,0.19426969231748648
26803,0.1694025926558821,0.2556097607457901
26804,0.1659484981392876,0.1458498607390922
26805,0.18627445675239787,0.1934603521478521
26806,0.12405941117705827,0.8093614796151565
26807,0.542037216008965,0.7584559092867916
26808,0.294779218330689,0.5281732546564202
26809,0.4461852453102454,0.25949987460939483
26810,0.15205452487399082,0.202841843205814
